idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
0,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccsc2)CO1,1,0,0.07721163332462311,17,19,C1=NC2(c3ccsc3)COCCC2CS1
1,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2cccs2)CO1,1,0,0.061441030353307724,17,19,C1=NC2(c3cccs3)COCCC2CS1
3,C[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,1,0,0.3156397044658661,49,52,O=C(CNCC(Cc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCc1ccccc1
12,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(Cc2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,0,0.30916574597358704,44,47,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(NCc2ccccc2)c1)NC1CCCCC1
13,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(C2CCCCC2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,0,0.05927607789635658,43,46,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(NC2CCCCC2)c1)NC1CCCCC1
15,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(N2CCCC2)cc(N2CCCC2=O)c1)C(=O)NC1CCCCC1,1,0,0.43010780215263367,43,47,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cc(N2CCCC2)cc(N2CCCC2=O)c1)NC1CCCCC1
27,C[C@@]1(c2ccc(F)cc2F)C[C@@H](c2cncnc2)SC(N)=N1,1,0,0.4859843850135803,22,24,C1=NC(c2ccccc2)CC(c2cncnc2)S1
35,C[C@@]1(c2cc(NCC3CC3)ccc2F)COCC(N)=N1,1,0,0.2797347903251648,20,22,C1=NC(c2cccc(NCC3CC3)c2)COC1
37,C[C@@]1(c2cc(NC3CCOC3)ccc2F)COCC(N)=N1,1,0,0.08018452674150467,21,23,C1=NC(c2cccc(NC3CCOC3)c2)COC1
38,C[C@@]1(c2cc(NC3CCC3)ccc2F)COCC(N)=N1,1,0,0.2994169592857361,20,22,C1=NC(c2cccc(NC3CCC3)c2)COC1
71,C[C@@]1(c2cc(NC(=O)N3CC=C(C#CC4CC4)CC3)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1,1,0,0.18964093923568726,33,36,O=C(Nc1cccc(C2CCOC=N2)c1)N1CC=C(C#CC2CC2)CC1
75,C[C@@]1(c2cc(N/C=C/c3ccc(C#N)cn3)ccc2F)COCC(N)=N1,1,0,0.3175790309906006,26,28,C(=Cc1ccccn1)Nc1cccc(C2COCC=N2)c1
76,C[C@@]1(c2cc(CNCC3CC3)c(F)cc2F)CCSC(N)=N1,1,0,0.4015270471572876,22,24,C1=NC(c2cccc(CNCC3CC3)c2)CCS1
83,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,1,0,0.4497683346271515,22,24,C1=NC(c2cccc(-c3cncnc3)c2)CCS1
85,C[C@@]1(c2cc(-c3ccc(Cl)cn3)ccc2F)C[C@@H]2C[C@@H]2C(N)=N1,1,0,0.25396662950515747,23,26,C1=NC(c2cccc(-c3ccccn3)c2)CC2CC12
86,C[C@@]1(c2cc(-c3ccc(Cl)cn3)ccc2F)CCC2(CC2)C(N)=N1,1,0,0.37157419323921204,24,27,C1=NC(c2cccc(-c3ccccn3)c2)CCC12CC2
94,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,1,0,8.201508171623573e-05,44,47,O=C(C=Cc1ccccc1)OC1COC(OCCc2ccccc2)CC1OC1CCCCO1
95,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1,0,0.0037410962395370007,43,47,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12
96,C[C@@H]1C[C@H]1COC(C)(C)[C@@H]1C[C@H]1[C@]12CN(c3ncccn3)C[C@H]1CSC(N)=N2,1,0,0.24191740155220032,28,32,C1=NC2(C3CC3COCC3CC3)CN(c3ncccn3)CC2CS1
97,C[C@@H]1C[C@H]1CNC(=O)[C@@H]1C[C@H]1[C@]12COC[C@H]1CSC(N)=N2,1,0,0.0014420122606679797,21,24,O=C(NCC1CC1)C1CC1C12COCC1CSC=N2
98,C[C@@H]1C[C@H]1CNC(=O)[C@@H]1C[C@H]1[C@]12CN(c3ncccn3)C[C@H]1CSC(N)=N2,1,0,0.03129527345299721,27,31,O=C(NCC1CC1)C1CC1C12CN(c3ncccn3)CC1CSC=N2
103,C[C@@H](NC(=O)c1cc2c(c(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CC3)c1)CCCO2)c1ccccc1,1,0,0.3225448727607727,39,43,O=C(NCc1ccccc1)c1cc2c(c(C(=O)NC(CCNC3CC3)Cc3ccccc3)c1)CCCO2
104,C[C@@H](NC(=O)c1cc2c(c(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CC3)c1)CCCCO2)c1ccccc1,1,0,0.24547936022281647,40,44,O=C(NCc1ccccc1)c1cc2c(c(C(=O)NC(CCNC3CC3)Cc3ccccc3)c1)CCCCO2
124,CSCC[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,1,0,0.3409009873867035,65,66,O=C(CCCCc1ccccc1)NCC(=O)NCC(=O)NCC(=O)NCCc1ccccc1
131,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CCCCC2)c1,1,0,0.2807480990886688,38,41,O=C(NC(CCNC1CCCCC1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1
132,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1,1,0,0.43484243750572205,35,38,O=C(NC(CCNC1CC1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1
176,COc1cccnc1Nc1ccc(F)c([C@]2(C)CC3(CCOCC3)SC(N)=N2)c1,1,0,0.07013517618179321,29,32,C1=NC(c2cccc(Nc3ccccn3)c2)CC2(CCOCC2)S1
177,COc1cccc2cc(CN(CCCCCCNc3c4c(nc5ccccc35)CCCC4)Cc3cc4cccc(OC)c4o3)oc12,1,0,2.2883272322360426e-05,46,52,c1ccc2oc(CN(CCCCCCNc3c4c(nc5ccccc35)CCCC4)Cc3cc4ccccc4o3)cc2c1
178,COc1cccc2cc(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc12,1,0,9.080291056307033e-05,36,40,O=C(NCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2o1
204,COc1cccc(-c2cccc(C3(C)N=C(N)CCS3)c2)c1,1,0,0.009612529538571835,22,24,C1=NC(c2cccc(-c3ccccc3)c2)SCC1
206,COc1cccc(-c2cccc(C3(C)CSCC(N)=N3)c2)c1,1,0,0.00725555419921875,22,24,C1=NC(c2cccc(-c3ccccc3)c2)CSC1
207,COc1cccc(-c2cccc(C3(C)COCC(N)=N3)c2)c1,1,0,0.0065462104976177216,22,24,C1=NC(c2cccc(-c3ccccc3)c2)COC1
208,COc1cccc(-c2cccc(C3(C)CCSC(N)=N3)c2)c1,1,0,0.009379555471241474,22,24,C1=NC(c2cccc(-c3ccccc3)c2)CCS1
218,COc1ccc2c(c1)CCC2(Cc1ccc(C(F)(F)F)nc1)c1cn(Cc2ccccc2)c(N)n1,1,0,0.2532554566860199,35,39,c1ccc(Cn2cnc(C3(Cc4cccnc4)CCc4ccccc43)c2)cc1
225,COc1ccc(N2CCN([C@@H]3CN(C(=O)Nc4cc(Cl)cc(Cl)c4)CC[C@H]3OC(=O)c3ccc(Oc4ccccc4)cc3)CC2)cc1,1,0,0.3132973313331604,47,52,O=C(OC1CCN(C(=O)Nc2ccccc2)CC1N1CCN(c2ccccc2)CC1)c1ccc(Oc2ccccc2)cc1
229,COc1ccc(CNC(=O)C2CCN(C(=O)c3ccccc3)CC2)cc1OC,1,0,0.06445371359586716,28,30,O=C(NCc1ccccc1)C1CCN(C(=O)c2ccccc2)CC1
240,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)CS2)cc1,1,0,0.017237460240721703,26,29,C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)SC1
262,COc1ccc(-n2nc3cc(C)c(NC(=O)CC(C)C)cc3n2)cc1,1,0,0.007478838786482811,25,27,c1ccc(-n2nc3ccccc3n2)cc1
270,COc1cc2ncnc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)c2cc1OC,1,0,0.17917683720588684,33,37,c1ccc(C(c2ccccc2)N2CCN(c3ncnc4ccccc34)CC2)cc1
271,COc1cc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)[nH]c2cc1OC,1,0,0.3567037582397461,31,34,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2[nH]1
276,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1,0,0.22230969369411469,28,31,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1
