idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
5,C[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N1CCC[C@H]1C(=O)O,0,1,0.8713645339012146,49,52,O=C(NCc1ccccc1)c1cccc(C(=O)NC(CNCC(=O)N2CCCC2)Cc2ccccc2)c1
31,C[C@@]1(c2cc(Nc3cc(F)cc4cc(OCC5CC5)cnc34)ccc2F)COCC(N)=N1,0,1,0.824531614780426,32,36,C1=NC(c2cccc(Nc3cccc4cc(OCC5CC5)cnc34)c2)COC1
42,C[C@@]1(c2cc(NC(=O)c3cncnc3)ccc2F)COCC(N)=N1,0,1,0.5672352313995361,24,26,O=C(Nc1cccc(C2COCC=N2)c1)c1cncnc1
101,C[C@@H](NC(c1cc(-c2nnc([C@](C)(N)Cc3ccc(F)cc3)o2)cc(N(C)S(C)(=O)=O)c1)C(F)(F)F)c1ccc(F)cc1,0,1,0.9362204074859619,43,46,c1ccc(CCc2nnc(-c3cccc(CNCc4ccccc4)c3)o2)cc1
107,C[C@@H](NC(=O)c1cc(N(C)S(C)(=O)=O)cc(-n2cc([C@](C)(N)Cc3ccccc3)nn2)c1)c1ccc(F)cc1,0,1,0.7943996787071228,39,42,O=C(NCc1ccccc1)c1cccc(-n2cc(CCc3ccccc3)nn2)c1
108,C[C@@H](NC(=O)c1cc(CNC[C@](N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.696968138217926,38,40,O=C(NCc1ccccc1)c1cccc(CNCCCc2ccccc2)c1
109,C[C@@H](NC(=O)c1cc(CCC[C@](N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.5510600209236145,38,40,O=C(NCc1ccccc1)c1cccc(CCCCCc2ccccc2)c1
111,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N2CCCS2(=O)=O)c1)c1ccccc1,0,1,0.6866796016693115,42,46,O=C(NCc1ccccc1)c1cc(C(=O)NC(CCNC2CC2)Cc2ccccc2)cc(N2CCCS2(=O)=O)c1
117,C[C@@H](NC(=O)c1cc(-c2noc([C@](C)(N)Cc3ccccc3)n2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.9013364911079407,39,42,O=C(NCc1ccccc1)c1cccc(-c2noc(CCc3ccccc3)n2)c1
118,C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)(N)Cc3ccccc3)s2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.9564336538314819,39,42,O=C(NCc1ccccc1)c1cccc(-c2nnc(CCc3ccccc3)s2)c1
121,C[C@@H](NC(=O)c1cc(-c2nc([C@](C)(N)Cc3ccccc3)no2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.8731982707977295,39,42,O=C(NCc1ccccc1)c1cccc(-c2nc(CCc3ccccc3)no2)c1
122,C[C@@H](NC(=O)c1cc(-c2n[nH]c([C@](C)(N)Cc3ccccc3)n2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,1,0.8030597567558289,39,42,O=C(NCc1ccccc1)c1cccc(-c2n[nH]c(CCc3ccccc3)n2)c1
