num_layers,hidden_dim,dropout,lr,best_epoch,val_pr_auc,val_roc_auc,val_f1,time
3,256,0.2,0.0001,62,0.9107210186320316,0.8727605174081239,0.826992103374013,86.78584837913513
2,256,0.2,0.0001,86,0.9095373757272215,0.8681908849129594,0.835102618542109,97.142733335495
4,128,0.2,0.0001,61,0.9091510600879197,0.8648603723404256,0.8283852280955829,94.59375524520874
4,256,0.2,0.0001,70,0.9082074405814821,0.8679929279497098,0.8295454545454546,105.38118386268616
2,64,0.2,0.0001,150,0.9062496242650881,0.8644100580270794,0.8217609162491052,146.8747444152832
3,64,0.2,0.0001,81,0.905253039875615,0.8654708655705996,0.83,103.42070436477661
3,128,0.2,0.0001,71,0.904911833683276,0.8638056092843327,0.8274428274428275,93.92691016197205
4,256,0.3,0.0001,70,0.9047773659998384,0.866926075918762,0.8329779673063256,106.4667956829071
3,128,0.3,0.0001,85,0.9023128164148024,0.8621071083172147,0.8377622377622378,107.86658215522766
3,256,0.3,0.0001,93,0.9015244224667837,0.8654950435203095,0.826647564469914,117.30844116210938
4,64,0.2,0.001,92,0.9009784315281772,0.8582386363636363,0.823021582733813,129.0088860988617
3,64,0.3,0.001,79,0.89978297490652,0.8610976789168279,0.8139223560910308,100.75134778022766
2,128,0.2,0.0001,33,0.89954020593989,0.8545424323017408,0.8235294117647058,49.31261706352234
4,128,0.3,0.0001,59,0.8986759056521307,0.8564464458413927,0.8180535966149506,92.91050791740417
3,64,0.2,0.001,41,0.8984025242156684,0.8602091392649903,0.818830242510699,64.64412903785706
2,128,0.3,0.0001,85,0.8981302503495189,0.8554914168278531,0.8149231894659839,92.80295491218567
4,128,0.3,0.001,59,0.8976080134765272,0.8494514627659574,0.8142348754448399,92.65290951728821
2,256,0.3,0.0001,71,0.8975787913583764,0.8549776353965185,0.8226848528356066,83.72567296028137
4,128,0.2,0.001,57,0.8974465801599778,0.8562983558994196,0.8163862472567667,90.66747188568115
3,64,0.3,0.0001,81,0.8966695440330873,0.8539349613152805,0.8186379928315413,101.86283254623413
3,128,0.3,0.001,103,0.8963401850316883,0.8577354327852997,0.8218430034129692,125.60988426208496
2,64,0.2,0.001,84,0.8957581224425357,0.8527804642166344,0.8153955808980755,91.2703263759613
4,64,0.3,0.0001,130,0.8948075614260134,0.8488364361702128,0.8132183908045977,169.9962944984436
4,64,0.2,0.0001,31,0.8946883911098422,0.8425199468085106,0.8066528066528067,61.549827098846436
4,256,0.5,0.001,101,0.8944763270334022,0.8526686411992264,0.816,140.47419214248657
2,64,0.3,0.0001,90,0.8942291125410422,0.8473585589941973,0.8058394160583942,97.5605857372284
4,256,0.2,0.001,53,0.8938785186395859,0.8483090546421664,0.808209483368719,89.0980863571167
3,256,0.2,0.001,80,0.8937072681197066,0.8543746977756286,0.8137737174982431,104.48962211608887
3,64,0.5,0.001,120,0.893217761904936,0.8543701644100581,0.816034359341446,139.9175786972046
2,256,0.5,0.0001,61,0.8931006073822692,0.847249758220503,0.8115737473535639,74.59918284416199
2,256,0.2,0.001,73,0.8928784710043138,0.8463173960348163,0.8158940397350993,86.74821782112122
3,128,0.5,0.001,51,0.8926494823212849,0.845096409574468,0.822028206850235,74.40058827400208
4,64,0.3,0.001,81,0.8923196451708787,0.8530675773694392,0.8146551724137931,116.92584300041199
2,64,0.3,0.001,64,0.8919183651668523,0.851154497098646,0.8159771754636234,74.16475248336792
3,128,0.5,0.0001,126,0.8918090657539781,0.8464246856866537,0.8120300751879699,146.7311236858368
3,256,0.5,0.0001,77,0.8917562005016011,0.8491144825918762,0.8245243128964059,101.2616138458252
3,256,0.3,0.001,57,0.8908582562941071,0.8432694632495165,0.8128491620111732,81.62278032302856
3,128,0.2,0.001,50,0.8906166798303224,0.8491250604448743,0.8110661268556005,73.55235362052917
4,64,0.5,0.001,88,0.8897521990570483,0.8464579303675049,0.8040540540540541,123.13152313232422
2,128,0.3,0.001,54,0.8887948269489523,0.8479584743713733,0.8073260073260073,66.27973508834839
4,256,0.5,0.0001,58,0.8887665370861202,0.8440824468085106,0.8218029350104822,92.56788325309753
2,256,0.3,0.001,96,0.8882487648698068,0.8462373065764023,0.8085694540428473,104.58081984519958
2,128,0.2,0.001,54,0.8878699735367526,0.8448954303675048,0.8162422573984859,67.58780717849731
3,256,0.5,0.001,46,0.8876912266493255,0.8362246131528045,0.800561797752809,69.80796360969543
2,256,0.5,0.001,75,0.8876525822385204,0.8430669729206963,0.8185430463576159,87.88391900062561
2,128,0.5,0.0001,88,0.885954398677741,0.8380168036750484,0.813986013986014,95.69791412353516
4,128,0.5,0.0001,92,0.8856620401727664,0.840093085106383,0.812760055478502,132.57524991035461
4,256,0.3,0.001,73,0.8853904931379327,0.8388887209864604,0.8156209987195903,108.9272985458374
2,128,0.5,0.001,74,0.8851612704161181,0.8458776595744681,0.8204081632653061,83.38680911064148
2,64,0.5,0.0001,84,0.8811883954369468,0.829778167311412,0.8053221288515406,92.04220390319824
4,128,0.5,0.001,49,0.8811589383444052,0.835698742746615,0.8106312292358804,81.96751093864441
2,64,0.5,0.001,74,0.8809786772865522,0.8390111218568665,0.801423487544484,83.47058510780334
3,64,0.5,0.0001,89,0.8797515359218745,0.8300819028046422,0.7983595352016405,111.20204710960388
4,64,0.5,0.0001,115,0.8792957018047514,0.8274782398452611,0.7924801156905278,153.77672505378723
