idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
12,C(=N/Nc1nnc(-c2cccs2)c(-c2cccs2)n1)\c1cc2ccccc2[nH]1,1,0,0.04461188241839409,28,32,C(=NNc1nnc(-c2cccs2)c(-c2cccs2)n1)c1cc2ccccc2[nH]1
43,CC#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,1,0,0.0932045727968216,27,31,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21COC1
49,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)cs2)CCCCC1,1,0,0.41081830859184265,33,35,c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1
50,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)C)cs2)CCCCC1,1,0,0.40238815546035767,32,34,c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1
52,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCOCC1,1,0,0.4939509332180023,35,38,c1ccc(CCCCNC2(c3cccc(-n4cccn4)c3)CCOCC2)cc1
53,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1,1,0,0.4989010989665985,33,35,c1ccc(CCCCNC2(c3ccccc3)CC2)cc1
59,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,1,0,0.2539256513118744,39,44,c1ccc(CCCCNC2(c3cn(C45CC6CC(CC(C6)C4)C5)nn3)CCCCC2)cc1
60,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2csc(C(C)C)c2)CCCCC1,1,0,0.4120120406150818,32,34,c1ccc(CCCCNC2(c3ccsc3)CCCCC2)cc1
75,CC(=O)N[C@@H](Cc1ccccc1)C(=O)CN[C@H]1CC(C)(C)Cc2nn(CC(C)C)cc21,1,0,0.44810763001441956,31,33,O=C(CCc1ccccc1)CNC1CCCc2n[nH]cc21
78,CC(=O)c1ccc(Oc2ccc(-c3scc(-c4ccccc4Cl)c3CC(=O)N=C(N)N)cc2)cc1,1,0,0.03837447613477707,35,38,c1ccc(Oc2ccc(-c3cc(-c4ccccc4)cs3)cc2)cc1
89,CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cc2NC(=O)c2cc3ccccc3oc2=O)CC1,1,0,0.03201611340045929,34,37,O=C(Nc1ccccc1N1CCNCC1)c1cc2ccccc2oc1=O
106,CC(C)=CCCC1(C)C=Cc2c(ccc3cc(-c4cc(O)cc(O)c4CC=C(C)C)oc23)O1,1,0,0.0008651995449326932,33,36,C1=Cc2c(ccc3cc(-c4ccccc4)oc23)OC1
117,CC(C)CNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,1,0,0.19130229949951172,43,46,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)NC1CCCCC1
120,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(Cc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,1,0,0.49291837215423584,51,53,O=C(CCNC(=O)c1nn[nH]n1)NCC(=O)NCC(=O)NCC(Cc1ccccc1)C(=O)Nc1ccccc1
121,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,1,0,0.2874026596546173,44,45,O=C(CCNC(=O)c1nn[nH]n1)NCC(=O)NCC(=O)NCCC(=O)Nc1ccccc1
123,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,1,0,0.45316436886787415,68,68,c1ccccc1
124,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(N)=O)C(C)C,1,0,0.39473956823349,57,56,
134,CC(C)Nc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,1,0,0.15279299020767212,42,45,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)NC1CCCCC1
144,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccc(C(=O)O)cc1,1,0,0.3804834485054016,60,63,O=C(CCC(COc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCc1ccccc1
150,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,1,0,0.19171012938022614,23,26,c1cnc2ccc(-c3n[nH]c4ncncc34)cc2c1
171,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2sccc2Br)C(=O)O)=N1,1,0,0.027598360553383827,25,27,c1csc(CCNC2=NCCc3ccccc32)c1
175,CC1(C)OCC(N)=N[C@](C)(c2cc(Nc3cncc(F)c3)ccc2F)C1(F)F,1,0,0.28741320967674255,28,30,C1=NC(c2cccc(Nc3cccnc3)c2)CCOC1
177,CC1(C)Oc2ccc(-c3ccc4nonc4c3)cc2C2(COC(N)=N2)C12COC2,1,0,0.3015736937522888,29,34,C1=NC2(CO1)c1cc(-c3ccc4nonc4c3)ccc1OCC21COC1
178,CC1(C)Oc2ccc(-c3cccc(C(F)(F)F)c3)cc2C2(COC(N)=N2)C12COC2,1,0,0.2531202435493469,30,34,C1=NC2(CO1)c1cc(-c3ccccc3)ccc1OCC21COC1
180,CC1(C)Oc2ccc(-c3cccnc3F)cc2C2(COC(N)=N2)C12COC2,1,0,0.3642714321613312,27,31,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21COC1
181,CC1(C)Oc2ccc(-c3cncnc3)cc2C2(COC(N)=N2)C12COC2,1,0,0.2971769869327545,26,30,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1OCC21COC1
192,CC1(c2cccc(NC(=O)c3cc(Br)co3)c2)COCC(N)=N1,1,0,0.40618282556533813,23,25,O=C(Nc1cccc(C2COCC=N2)c1)c1ccco1
193,CC1(c2cccc(NC(=O)c3ccc(Br)cn3)n2)COCC(N)=N1,1,0,0.10322178155183792,24,26,O=C(Nc1cccc(C2COCC=N2)n1)c1ccccn1
194,CC1(c2cccc(NC(=O)c3ccc(C(N)=O)cn3)c2)CCSC(N)=N1,1,0,0.4664231240749359,26,28,O=C(Nc1cccc(C2CCSC=N2)c1)c1ccccn1
208,CC1=NC2(CCOc3ccc(-c4cncc(Cl)c4)cc32)N=C1N,1,0,0.011914742179214954,23,26,C1=NC2(CCOc3ccc(-c4cccnc4)cc32)N=C1
