idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
18,C=C(c1ccc2c(c1)C1(N=C(N)N(C)C1=O)C1(CCC(OC)CC1)C2)C(F)(F)F,0,1,0.9839684963226318,29,32,O=C1NC=NC12c1ccccc1CC21CCCCC1
65,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(Cc3ccccc3)cc21,0,1,0.7896354794502258,35,38,c1ccc(CCCCNC2CCCc3ccc(Cc4ccccc4)cc32)cc1
68,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C(F)F)c2)C[C@H]1C,0,1,0.8257582187652588,34,36,c1ccc(CCCCNC2(c3ccccc3)CC2)cc1
79,CC(=O)c1ccccc1-c1cc(C(=O)N[C@H](CO)Cc2ccccc2)cc(C(=O)N[C@H](C)c2ccccc2)c1,0,1,0.9770746827125549,39,42,O=C(NCCc1ccccc1)c1cc(C(=O)NCc2ccccc2)cc(-c2ccccc2)c1
85,CC(C)(C)Nc1c(-c2ccc(-c3nc4ccc(F)cc4[nH]3)cc2)nc2ccccn12,0,1,0.7679872512817383,30,34,c1ccc2[nH]c(-c3ccc(-c4cn5ccccc5n4)cc3)nc2c1
98,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)nc3)[C@@H]2O)c1,0,1,0.5212758779525757,29,31,O=S1(=O)CC(Cc2cccnc2)CC(NCc2ccccc2)C1
108,CC(C)C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,0,1,0.9488922357559204,27,30,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1
142,CC(C)[C@H](NC(=O)CCC(O)(CCc1ccccc1)C(=O)Nc1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,0,1,0.5154472589492798,55,58,O=C(CCC(CCc1ccccc1)C(=O)Nc1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCc1ccccc1
149,CC(C)c1nc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)co1,0,1,0.5233572721481323,28,31,O=C(Nc1csc(C23COCCC2CSC=N3)n1)c1cocn1
151,CC(F)(F)COc1cnc(C(=O)Nc2cccc([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)n2)c(N)n1,0,1,0.9129289984703064,35,37,O=C(Nc1cccc(C2COCC=N2)n1)c1cnccn1
161,CC1(C)C(N)=N[C@](C)(c2cc(C(=O)Nc3ccc(C#N)cc3O)ccc2F)CS1(=O)=O,0,1,0.8149275183677673,31,33,O=C(Nc1ccccc1)c1cccc(C2CS(=O)(=O)CC=N2)c1
182,CC1(C)Oc2ccc(NC(=O)c3ccc(Cl)cn3)cc2[C@]2(COC(N)=N2)C12COC2,0,1,0.941642701625824,30,34,O=C(Nc1ccc2c(c1)C1(COC=N1)C1(COC1)CO2)c1ccccn1
206,CC1=NC2(CC(C3CCCOC3)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,0,1,0.5998935699462891,29,33,C1=NC2(CC(C3CCCOC3)Oc3ccc(-c4ccccc4)cc32)N=C1
247,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1C(=O)N(CC)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,0,1,0.5495478510856628,49,49,O=C1CCCN1
249,CCCCNC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,0,1,0.5613251328468323,39,39,C1CCCC1
252,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)CCC(C)C,0,1,0.7069675326347351,33,32,
259,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCCC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1,0,1,0.667522668838501,51,54,O=C(NC(CCNCCC1CCN(Cc2ccccc2)CC1)Cc1ccccc1)c1ccccc1
272,CCCNC(=O)c1cc(C(N)=O)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)c1,0,1,0.8266589045524597,39,41,O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccccc1
274,CCCOCc1cccc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)c1,0,1,0.6425372362136841,32,34,O=S1(=O)CC(Cc2ccccc2)CC(NCc2ccccc2)C1
280,CCCOc1ccc(-c2scc(-c3ccccc3Cl)c2CC(=O)/N=C(/N)NCCCO)c(C)c1,0,1,0.963775098323822,34,36,c1ccc(-c2csc(-c3ccccc3)c2)cc1
305,CCOCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,0,1,0.5204910039901733,40,43,O=C1CC(C(=O)NC(Cc2ccccc2)CC2CC(OCc3ccccc3)CN2)CN1
317,CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,0,1,0.5923360586166382,30,32,O=C(Nc1cccc(C2CCOC=N2)n1)c1cnccn1
350,CCn1cc([C@@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,0,1,0.9692391753196716,28,31,O=C1NC=NC1(c1cn[nH]c1)c1cccc(-c2cccnc2)c1
352,CCn1ccc2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC(C)(C)c3cccc(OC)c3)cc21,0,1,0.8532572388648987,43,47,O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1cc(N2CCCC2=O)c2cc[nH]c2c1
380,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2F)N=C1N,0,1,0.759880006313324,32,35,O=C1NC=NC1(c1ccccc1)c1cccc(-c2cncnc2)c1
430,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2cnncc2C1,0,1,0.9445645809173584,31,36,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21Cc2cnncc2C1
468,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(=S)N(C(C)(C)C)C1=O,0,1,0.9949085116386414,27,30,O=C1NC(=S)NC12c1ccccc1CC21CCCCC1
470,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(N)N(C(C)(C)C)C1=O,0,1,0.9416383504867554,27,30,O=C1NCNC12c1ccccc1CC21CCCCC1
541,COCCOc1cnc(C(=O)Nc2cccc(CNc3cccnc3N)c2)cn1,0,1,0.8236618638038635,29,31,O=C(Nc1cccc(CNc2cccnc2)c1)c1cnccn1
572,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(Cc2ccnnc2)C1=O,0,1,0.9999731779098511,34,39,O=C1N(Cc2ccnnc2)C=NC12c1cc(C#CC3CC3)ccc1CC21CCCCC1
583,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC(F)(F)F)cc1[C@]21N=C(C)C(N)=N1,0,1,0.9249966740608215,29,32,C1=NC2(N=C1)c1ccccc1CC21CCCCC1
585,CO[C@H]1CC[C@]2(CCc3ccc(Br)cc3C23N=C(C)C(N)=N3)CC1,0,1,0.9173558950424194,24,27,C1=NC2(N=C1)c1ccccc1CCC21CCCCC1
611,COc1ccc(-c2noc(C)c2C(=O)/N=C(\N)NCc2cc(Cl)c(NC(=O)CS(C)(=O)=O)c(Cl)c2)cc1,0,1,0.5669875741004944,37,39,O=C(N=CNCc1ccccc1)c1conc1-c1ccccc1
653,COc1ccc2nc(-c3ccc(-c4nc5ccccn5c4NC(C)(C)C)cc3)[nH]c2c1,0,1,0.7871747612953186,31,35,c1ccc2[nH]c(-c3ccc(-c4cn5ccccc5n4)cc3)nc2c1
674,COc1cnc(C(=O)Nc2cc([C@@]3(C)CS(=O)(=O)C4(CCC4)C(N)=N3)c(F)cn2)cn1,0,1,0.9821500182151794,31,34,O=C(Nc1cc(C2CS(=O)(=O)C3(C=N2)CCC3)ccn1)c1cnccn1
689,COc1cnc(C(=O)Nc2cccc(CNc3cccnc3N)c2)cn1,0,1,0.6844443082809448,26,28,O=C(Nc1cccc(CNc2cccnc2)c1)c1cnccn1
705,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](COCc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,0,1,0.6454520225524902,57,58,O=C(CCCCCOCc1ccccc1)NCC(=O)NCc1ccccc1
720,C[C@@H]1Oc2ccc(-c3cncnc3)cc2[C@]2(COC(=N)N2)C12COC2,0,1,0.5069772005081177,25,29,N=C1NC2(CO1)c1cc(-c3cncnc3)ccc1OCC21COC1
