num_layers,hidden_dim,dropout,lr,best_epoch,val_pr_auc,val_roc_auc,val_f1,time
2,64,0.2,0.001,137,0.9514075052872111,0.8960634391119083,0.8842364532019704,136.0373170375824
2,64,0.2,0.0001,117,0.946636607584624,0.8857577371607983,0.8763636363636363,119.05538368225098
2,64,0.3,0.001,117,0.9518821766080967,0.8957655864543619,0.8806431663574521,119.61921691894531
2,64,0.3,0.0001,82,0.9381864422557847,0.872350863422292,0.8804283164782868,89.55067324638367
2,64,0.5,0.001,121,0.944689264478977,0.8847608067952455,0.8855491329479769,122.32660174369812
2,64,0.5,0.0001,88,0.9249357483143228,0.8549878055617852,0.8763505402160864,94.77491664886475
2,128,0.2,0.001,114,0.953262663751033,0.8966731610226508,0.8865373309817755,117.82918977737427
2,128,0.2,0.0001,123,0.9514884470761462,0.8950927898631981,0.8855054811205847,124.55310606956482
2,128,0.3,0.001,163,0.9498832356396927,0.8929780359946176,0.8798607080673244,159.9969835281372
2,128,0.3,0.0001,122,0.9458685223153596,0.8845207725947521,0.8886255924170616,124.71933484077454
2,128,0.5,0.001,151,0.9508725096649953,0.8918794853106078,0.8854229154169166,148.7851915359497
2,128,0.5,0.0001,127,0.9347693015820018,0.8656228975106526,0.8775510204081632,128.74177622795105
2,256,0.2,0.001,143,0.9521662231349597,0.8950997981610227,0.8753623188405797,147.33435678482056
2,256,0.2,0.0001,89,0.9544887173226653,0.8990980320699707,0.8868388683886839,99.64037799835205
2,256,0.3,0.001,177,0.9560965943153188,0.9016805898183449,0.880466472303207,174.48965573310852
2,256,0.3,0.0001,109,0.9547550185961249,0.9003595256784032,0.8871454435727217,116.3550181388855
2,256,0.5,0.001,98,0.9451156236093269,0.8840862581296255,0.8901869158878505,105.27611994743347
2,256,0.5,0.0001,150,0.9477799352826259,0.8866127494954025,0.8874484384207425,151.53671741485596
3,64,0.2,0.001,109,0.9525925560736924,0.8952872701278314,0.8792792792792793,132.39889931678772
3,64,0.2,0.0001,82,0.9495061248470172,0.8898645996860284,0.8888888888888888,104.60711216926575
3,64,0.3,0.001,124,0.952537712016667,0.896315737833595,0.8940201302545885,144.29320001602173
3,64,0.3,0.0001,173,0.9380625370917232,0.8745164274501007,0.8843373493975903,193.8319079875946
3,64,0.5,0.001,129,0.94524183049283,0.8838269511101142,0.8890200708382526,149.54426670074463
3,64,0.5,0.0001,121,0.9282133487257632,0.8602615496748149,0.8782243551289742,142.28339862823486
3,128,0.2,0.001,137,0.9520254984741392,0.8962001009194887,0.8801926550270921,159.89547657966614
3,128,0.2,0.0001,108,0.9563670158935335,0.9029561000224265,0.8865726548129982,129.3803026676178
3,128,0.3,0.001,113,0.9486752356308399,0.8912101928683562,0.8778718258766627,135.98138570785522
3,128,0.3,0.0001,96,0.9508073683320301,0.895551833370711,0.8857837181044957,118.09903168678284
3,128,0.5,0.001,191,0.9487131247108713,0.8909140922852657,0.8846611177170036,196.06427669525146
3,128,0.5,0.0001,152,0.9394695972618698,0.8751366618075802,0.8818342151675485,169.89476108551025
3,256,0.2,0.001,107,0.9522669138333788,0.8948685243328101,0.8811940298507462,129.62316226959229
3,256,0.2,0.0001,112,0.9575144382612186,0.9067300684009868,0.8957203134418324,133.51633381843567
3,256,0.3,0.001,133,0.9501329264689076,0.8954852545413772,0.8905882352941177,153.60957288742065
3,256,0.3,0.0001,143,0.955656116612146,0.9025075689616506,0.8880994671403197,164.12760019302368
3,256,0.5,0.001,157,0.9489139075016793,0.8890481329894595,0.8739789964994166,178.61341905593872
3,256,0.5,0.0001,83,0.9442511310411292,0.8814896837856021,0.8899464604402142,105.41116213798523
4,64,0.2,0.001,99,0.9549453200545401,0.8977244056963445,0.8834720570749108,134.74160885810852
4,64,0.2,0.0001,161,0.9567513439516719,0.9024304776855796,0.8930065750149432,201.27345514297485
4,64,0.3,0.001,84,0.9459344256125034,0.8831296254765643,0.8902219556088782,117.70419120788574
4,64,0.3,0.0001,165,0.9456133212729049,0.8833065849966361,0.8795620437956204,207.4374372959137
4,64,0.5,0.001,142,0.9414019785308296,0.8797901715631309,0.8896713615023474,179.8620102405548
4,64,0.5,0.0001,198,0.9332206330203827,0.8638007400762502,0.8735769922109047,216.86205053329468
4,128,0.2,0.001,127,0.9531068928713938,0.898269300852209,0.8906605922551253,165.5382890701294
4,128,0.2,0.0001,57,0.9514651281221644,0.8936420722135008,0.8853658536585366,90.00655794143677
4,128,0.3,0.001,137,0.948744537056021,0.8906109834043507,0.8836385115180153,176.7882580757141
4,128,0.3,0.0001,135,0.9517633427104265,0.8939118916797487,0.8818126148193509,176.85000872612
4,128,0.5,0.001,106,0.9424053933253318,0.8803315625700829,0.8770053475935828,144.84859442710876
4,128,0.5,0.0001,197,0.9449902230636889,0.881791040592061,0.8828078524687686,219.82810354232788
4,256,0.2,0.001,52,0.9422432857261042,0.879006994281229,0.8638324091189156,87.70527648925781
4,256,0.2,0.0001,80,0.9563926052482781,0.905328408836062,0.8910411622276029,118.98801231384277
4,256,0.3,0.001,129,0.9456992151294469,0.8853337351424085,0.8796728971962616,173.89167594909668
4,256,0.3,0.0001,102,0.9581679856705654,0.9082351003588249,0.8884870403857745,143.00404524803162
4,256,0.5,0.001,99,0.9438001744983773,0.8824638371832247,0.8814691151919867,139.1875696182251
4,256,0.5,0.0001,102,0.9458217510616307,0.8867248822605965,0.8890214797136038,141.43904638290405
