idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
0,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccsc2)CO1,1,0,0.0810944214463234,17,19,C1=NC2(c3ccsc3)COCCC2CS1
1,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2cccs2)CO1,1,0,0.02675257809460163,17,19,C1=NC2(c3cccs3)COCCC2CS1
12,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(Cc2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,0,0.2595949172973633,44,47,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(NCc2ccccc2)c1)NC1CCCCC1
13,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(C2CCCCC2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,0,0.3355650007724762,43,46,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(NC2CCCCC2)c1)NC1CCCCC1
15,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(N2CCCC2)cc(N2CCCC2=O)c1)C(=O)NC1CCCCC1,1,0,0.36831486225128174,43,47,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cc(N2CCCC2)cc(N2CCCC2=O)c1)NC1CCCCC1
30,C[C@@]1(c2cc(Nc3ncc4ccccn34)ccc2F)CCSC(N)=N1,1,0,0.10536465048789978,25,28,C1=NC(c2cccc(Nc3ncc4ccccn34)c2)CCS1
32,C[C@@]1(c2cc(NCc3nn(C(F)F)cc3Cl)ccc2F)COCC(N)=N1,1,0,0.423922598361969,26,28,C1=NC(c2cccc(NCc3cc[nH]n3)c2)COC1
35,C[C@@]1(c2cc(NCC3CC3)ccc2F)COCC(N)=N1,1,0,0.3297310769557953,20,22,C1=NC(c2cccc(NCC3CC3)c2)COC1
37,C[C@@]1(c2cc(NC3CCOC3)ccc2F)COCC(N)=N1,1,0,0.25365954637527466,21,23,C1=NC(c2cccc(NC3CCOC3)c2)COC1
38,C[C@@]1(c2cc(NC3CCC3)ccc2F)COCC(N)=N1,1,0,0.2626708447933197,20,22,C1=NC(c2cccc(NC3CCC3)c2)COC1
52,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)C[C@@H]2C[C@@H]2C(N)=N1,1,0,0.466748982667923,26,29,O=C(Nc1cccc(C2CC3CC3C=N2)c1)c1ccccn1
75,C[C@@]1(c2cc(N/C=C/c3ccc(C#N)cn3)ccc2F)COCC(N)=N1,1,0,0.2260286509990692,26,28,C(=Cc1ccccn1)Nc1cccc(C2COCC=N2)c1
85,C[C@@]1(c2cc(-c3ccc(Cl)cn3)ccc2F)C[C@@H]2C[C@@H]2C(N)=N1,1,0,0.44554540514945984,23,26,C1=NC(c2cccc(-c3ccccn3)c2)CC2CC12
94,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,1,0,0.0003424058959353715,44,47,O=C(C=Cc1ccccc1)OC1COC(OCCc2ccccc2)CC1OC1CCCCO1
95,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1,0,0.0034853911492973566,43,47,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12
97,C[C@@H]1C[C@H]1CNC(=O)[C@@H]1C[C@H]1[C@]12COC[C@H]1CSC(N)=N2,1,0,0.08026234060525894,21,24,O=C(NCC1CC1)C1CC1C12COCC1CSC=N2
98,C[C@@H]1C[C@H]1CNC(=O)[C@@H]1C[C@H]1[C@]12CN(c3ncccn3)C[C@H]1CSC(N)=N2,1,0,0.18321672081947327,27,31,O=C(NCC1CC1)C1CC1C12CN(c3ncccn3)CC1CSC=N2
119,C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)(N)Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,1,0,0.4563111364841461,39,42,O=C(NCc1ccccc1)c1cccc(-c2nnc(CCc3ccccc3)o2)c1
120,C[C@@H](NC(=O)c1cc(-c2ncc([C@](C)(N)Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,1,0,0.4924134612083435,39,42,O=C(NCc1ccccc1)c1cccc(-c2ncc(CCc3ccccc3)o2)c1
131,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CCCCC2)c1,1,0,0.4962356388568878,38,41,O=C(NC(CCNC1CCCCC1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1
132,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1,1,0,0.48356926441192627,35,38,O=C(NC(CCNC1CC1)Cc1ccccc1)c1cccc(Nc2ccccc2)c1
141,COc1ncc(CC2CCOCC2)c2c1C[C@]1(c3ccc(F)cc3F)N=C(N)SC[C@@H]1C2,1,0,0.47614723443984985,32,36,C1=NC2(c3ccccc3)Cc3cncc(CC4CCOCC4)c3CC2CS1
176,COc1cccnc1Nc1ccc(F)c([C@]2(C)CC3(CCOCC3)SC(N)=N2)c1,1,0,0.14530573785305023,29,32,C1=NC(c2cccc(Nc3ccccn3)c2)CC2(CCOCC2)S1
177,COc1cccc2cc(CN(CCCCCCNc3c4c(nc5ccccc35)CCCC4)Cc3cc4cccc(OC)c4o3)oc12,1,0,0.00041045391117222607,46,52,c1ccc2oc(CN(CCCCCCNc3c4c(nc5ccccc35)CCCC4)Cc3cc4ccccc4o3)cc2c1
178,COc1cccc2cc(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc12,1,0,0.010162115097045898,36,40,O=C(NCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2o1
180,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)n1,1,0,0.4824889004230499,28,31,O=C(Nc1ccccn1)c1cnc(C23COCCC2CSC=N3)s1
196,COc1cccc(-c2cccc(C3(c4ccncc4)N=C(C)C(N)=N3)c2)c1,1,0,0.2828295826911926,27,30,C1=NC(c2ccncc2)(c2cccc(-c3ccccc3)c2)N=C1
