idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
43,CC#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,1,0,0.15164600312709808,27,31,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21COC1
49,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)cs2)CCCCC1,1,0,0.32111814618110657,33,35,c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1
50,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)C)cs2)CCCCC1,1,0,0.224731907248497,32,34,c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1
52,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCOCC1,1,0,0.4815416932106018,35,38,c1ccc(CCCCNC2(c3cccc(-n4cccn4)c3)CCOCC2)cc1
59,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,1,0,0.010957024991512299,39,44,c1ccc(CCCCNC2(c3cn(C45CC6CC(CC(C6)C4)C5)nn3)CCCCC2)cc1
60,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2csc(C(C)C)c2)CCCCC1,1,0,0.2537490725517273,32,34,c1ccc(CCCCNC2(c3ccsc3)CCCCC2)cc1
75,CC(=O)N[C@@H](Cc1ccccc1)C(=O)CN[C@H]1CC(C)(C)Cc2nn(CC(C)C)cc21,1,0,0.447401225566864,31,33,O=C(CCc1ccccc1)CNC1CCCc2n[nH]cc21
89,CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cc2NC(=O)c2cc3ccccc3oc2=O)CC1,1,0,0.08670032769441605,34,37,O=C(Nc1ccccc1N1CCNCC1)c1cc2ccccc2oc1=O
106,CC(C)=CCCC1(C)C=Cc2c(ccc3cc(-c4cc(O)cc(O)c4CC=C(C)C)oc23)O1,1,0,0.014403169974684715,33,36,C1=Cc2c(ccc3cc(-c4ccccc4)oc23)OC1
117,CC(C)CNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,1,0,0.1363208293914795,43,46,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)NC1CCCCC1
121,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1,1,0,0.34042924642562866,44,45,O=C(CCNC(=O)c1nn[nH]n1)NCC(=O)NCC(=O)NCCC(=O)Nc1ccccc1
134,CC(C)Nc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,1,0,0.08747553080320358,42,45,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)NC1CCCCC1
144,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccc(C(=O)O)cc1,1,0,0.4392140507698059,60,63,O=C(CCC(COc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCc1ccccc1
