idx,smiles,true_label,pred_label,prob_aktif,num_atoms,num_bonds,scaffold
18,C=C(c1ccc2c(c1)C1(N=C(N)N(C)C1=O)C1(CCC(OC)CC1)C2)C(F)(F)F,0,1,0.9186488389968872,29,32,O=C1NC=NC12c1ccccc1CC21CCCCC1
65,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(Cc3ccccc3)cc21,0,1,0.5115761756896973,35,38,c1ccc(CCCCNC2CCCc3ccc(Cc4ccccc4)cc32)cc1
68,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C(F)F)c2)C[C@H]1C,0,1,0.9194505214691162,34,36,c1ccc(CCCCNC2(c3ccccc3)CC2)cc1
79,CC(=O)c1ccccc1-c1cc(C(=O)N[C@H](CO)Cc2ccccc2)cc(C(=O)N[C@H](C)c2ccccc2)c1,0,1,0.8870671987533569,39,42,O=C(NCCc1ccccc1)c1cc(C(=O)NCc2ccccc2)cc(-c2ccccc2)c1
98,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)nc3)[C@@H]2O)c1,0,1,0.5423243045806885,29,31,O=S1(=O)CC(Cc2cccnc2)CC(NCc2ccccc2)C1
108,CC(C)C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,0,1,0.8548955917358398,27,30,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1
114,CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C,0,1,0.7553971409797668,44,44,c1ccccc1
151,CC(F)(F)COc1cnc(C(=O)Nc2cccc([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)n2)c(N)n1,0,1,0.8167304396629333,35,37,O=C(Nc1cccc(C2COCC=N2)n1)c1cnccn1
161,CC1(C)C(N)=N[C@](C)(c2cc(C(=O)Nc3ccc(C#N)cc3O)ccc2F)CS1(=O)=O,0,1,0.5134729146957397,31,33,O=C(Nc1ccccc1)c1cccc(C2CS(=O)(=O)CC=N2)c1
182,CC1(C)Oc2ccc(NC(=O)c3ccc(Cl)cn3)cc2[C@]2(COC(N)=N2)C12COC2,0,1,0.9521173238754272,30,34,O=C(Nc1ccc2c(c1)C1(COC=N1)C1(COC1)CO2)c1ccccn1
206,CC1=NC2(CC(C3CCCOC3)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,0,1,0.7163481116294861,29,33,C1=NC2(CC(C3CCCOC3)Oc3ccc(-c4ccccc4)cc32)N=C1
215,CC1CC=C(c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)CC1,0,1,0.5406494736671448,27,31,C1=NC2(CO1)c1cc(C3=CCCCC3)ccc1OCC21COC1
247,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1C(=O)N(CC)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,0,1,0.5553955435752869,49,49,O=C1CCCN1
249,CCCCNC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,0,1,0.507908046245575,39,39,C1CCCC1
252,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)CCC(C)C,0,1,0.5915228724479675,33,32,
259,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCCC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1,0,1,0.653252363204956,51,54,O=C(NC(CCNCCC1CCN(Cc2ccccc2)CC1)Cc1ccccc1)c1ccccc1
268,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@@H](O)C[C@@H](CC)C(=O)N[C@H]2C[C@@H](OC)C[C@@H](OC)C2)c1,0,1,0.9226268529891968,47,49,O=C(CCCC(Cc1ccccc1)NC(=O)c1ccccc1)NC1CCCCC1
272,CCCNC(=O)c1cc(C(N)=O)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)c1,0,1,0.9291375875473022,39,41,O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccccc1
274,CCCOCc1cccc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)c1,0,1,0.8219569325447083,32,34,O=S1(=O)CC(Cc2ccccc2)CC(NCc2ccccc2)C1
280,CCCOc1ccc(-c2scc(-c3ccccc3Cl)c2CC(=O)/N=C(/N)NCCCO)c(C)c1,0,1,0.964509129524231,34,36,c1ccc(-c2csc(-c3ccccc3)c2)cc1
288,CCN(CCCCCCNC1=CC(=O)c2ccccc2C1=O)Cc1ccccc1OC,0,1,0.6406545042991638,31,33,O=C1C=C(NCCCCCCNCc2ccccc2)C(=O)c2ccccc21
305,CCOCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,0,1,0.7844893932342529,40,43,O=C1CC(C(=O)NC(Cc2ccccc2)CC2CC(OCc3ccccc3)CN2)CN1
317,CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,0,1,0.53912752866745,30,32,O=C(Nc1cccc(C2CCOC=N2)n1)c1cnccn1
350,CCn1cc([C@@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,0,1,0.9925895929336548,28,31,O=C1NC=NC1(c1cn[nH]c1)c1cccc(-c2cccnc2)c1
352,CCn1ccc2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC(C)(C)c3cccc(OC)c3)cc21,0,1,0.6904932260513306,43,47,O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1cc(N2CCCC2=O)c2cc[nH]c2c1
380,CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2F)N=C1N,0,1,0.9855829477310181,32,35,O=C1NC=NC1(c1ccccc1)c1cccc(-c2cncnc2)c1
410,CN1C(=O)[C@](c2ccccc2)(c2ccc(OCCF)cc2)N=C1N,0,1,0.5817143321037292,24,26,O=C1NC=NC1(c1ccccc1)c1ccccc1
430,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2cnncc2C1,0,1,0.6493814587593079,31,36,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21Cc2cnncc2C1
468,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(=S)N(C(C)(C)C)C1=O,0,1,0.96103835105896,27,30,O=C1NC(=S)NC12c1ccccc1CC21CCCCC1
470,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(N)N(C(C)(C)C)C1=O,0,1,0.945328950881958,27,30,O=C1NCNC12c1ccccc1CC21CCCCC1
541,COCCOc1cnc(C(=O)Nc2cccc(CNc3cccnc3N)c2)cn1,0,1,0.671841561794281,29,31,O=C(Nc1cccc(CNc2cccnc2)c1)c1cnccn1
572,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(Cc2ccnnc2)C1=O,0,1,0.9999394416809082,34,39,O=C1N(Cc2ccnnc2)C=NC12c1cc(C#CC3CC3)ccc1CC21CCCCC1
585,CO[C@H]1CC[C@]2(CCc3ccc(Br)cc3C23N=C(C)C(N)=N3)CC1,0,1,0.9668335914611816,24,27,C1=NC2(N=C1)c1ccccc1CCC21CCCCC1
651,COc1ccc2c(c1)[C@@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,0,1,0.8516514897346497,27,31,C1=NC2(CO1)c1ccccc1Oc1ccc(-c3cncnc3)cc12
674,COc1cnc(C(=O)Nc2cc([C@@]3(C)CS(=O)(=O)C4(CCC4)C(N)=N3)c(F)cn2)cn1,0,1,0.9911229610443115,31,34,O=C(Nc1cc(C2CS(=O)(=O)C3(C=N2)CCC3)ccn1)c1cnccn1
689,COc1cnc(C(=O)Nc2cccc(CNc3cccnc3N)c2)cn1,0,1,0.6198250651359558,26,28,O=C(Nc1cccc(CNc2cccnc2)c1)c1cnccn1
692,COc1cnc2c(Nc3ccc(F)c([C@@]4(C)N=C(N)O[C@H]5C[C@H]54)c3)nccc2c1,0,1,0.5382159948348999,29,33,C1=NC(c2cccc(Nc3nccc4cccnc34)c2)C2CC2O1
705,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](COCc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,0,1,0.7932660579681396,57,58,O=C(CCCCCOCc1ccccc1)NCC(=O)NCc1ccccc1
