num_layers,hidden_dim,dropout,lr,best_epoch,val_pr_auc,val_roc_auc,val_f1,time
2,64,0.2,0.001,105,0.9538057217556442,0.9003945671675264,0.8832369942196532,121.4337568283081
2,64,0.2,0.0001,127,0.9414427427365769,0.8799023043283247,0.8802858844550328,140.02814149856567
2,64,0.3,0.001,115,0.9505239553127525,0.8931637558869702,0.8919699595609474,131.0893087387085
2,64,0.3,0.0001,152,0.9360585453425727,0.8709456997084548,0.8780487804878049,163.1025161743164
2,64,0.5,0.001,114,0.9466736296994308,0.8844086398295582,0.8863499699338545,129.3935375213623
2,64,0.5,0.0001,100,0.9244805249091754,0.8574512222471407,0.876070816676185,115.20007371902466
2,128,0.2,0.001,85,0.9528843578428122,0.8995062654182552,0.8801389693109438,102.22052669525146
2,128,0.2,0.0001,92,0.9498477247642204,0.889177786499215,0.8799512492382694,108.24006462097168
2,128,0.3,0.001,96,0.9533799387405388,0.8994028930253418,0.8844036697247707,112.69460320472717
2,128,0.3,0.0001,199,0.9491752486352425,0.8897524669208343,0.8839976204640095,187.42975640296936
2,128,0.5,0.001,96,0.9485090040859134,0.8914414666965689,0.8917800118273211,113.30211734771729
2,128,0.5,0.0001,200,0.9470435770538865,0.8845838472751737,0.8864168618266979,188.9189326763153
2,256,0.2,0.001,73,0.9517510115042709,0.898024010428347,0.87422934648582,94.24964737892151
2,256,0.2,0.0001,98,0.9570443387177792,0.9046696288405472,0.8920863309352518,117.83846163749695
2,256,0.3,0.001,113,0.9495768069835138,0.8955500812962548,0.8811188811188811,130.93342065811157
2,256,0.3,0.0001,80,0.951763351445875,0.894980657098004,0.8855421686746988,98.67720651626587
2,256,0.5,0.001,129,0.9474050115690782,0.8910472499439337,0.8826879271070615,144.68830800056458
2,256,0.5,0.0001,121,0.9474885639353705,0.8849693036555281,0.8875739644970414,137.5356547832489
3,64,0.2,0.001,94,0.9561414122889633,0.9029105460865666,0.895808383233533,128.47926712036133
3,64,0.2,0.0001,90,0.9380776135179556,0.8767941242431039,0.8832844574780059,124.25359439849854
3,64,0.3,0.001,119,0.9489507241853858,0.8931549955146895,0.8840579710144928,155.96634435653687
3,64,0.3,0.0001,68,0.9302502939152409,0.8659487833594977,0.8888888888888888,100.72781038284302
3,64,0.5,0.001,94,0.9460980626941281,0.8832452623906706,0.8915518274415818,128.4201145172119
3,64,0.5,0.0001,200,0.9390711576570306,0.8701362413097107,0.8809248554913295,215.79785323143005
3,128,0.2,0.001,76,0.9478202620628475,0.8940555617851536,0.8809523809523809,109.99290347099304
3,128,0.2,0.0001,104,0.9577282652765067,0.9047397118187934,0.8949880668257757,139.5774040222168
3,128,0.3,0.001,140,0.951276340240948,0.8989771389324961,0.8860164512338425,178.5682737827301
3,128,0.3,0.0001,128,0.9509902882567481,0.8938348004036779,0.888755980861244,165.8780951499939
3,128,0.5,0.001,155,0.9473048957027193,0.8893214566046199,0.8760045924225028,197.4800283908844
3,128,0.5,0.0001,148,0.9457914280271742,0.8829123682440009,0.8851674641148325,188.18987584114075
3,256,0.2,0.001,65,0.9497925314649723,0.896518978470509,0.8848704038577456,99.62504124641418
3,256,0.2,0.0001,105,0.9544828938536012,0.9015211510428347,0.8851063829787233,142.8080132007599
3,256,0.3,0.001,104,0.947667540733208,0.8899714762278538,0.8806682577565632,142.15376114845276
3,256,0.3,0.0001,88,0.9554479788546624,0.9015334155640278,0.8874407582938388,123.2056405544281
3,256,0.5,0.001,157,0.9538486019123332,0.9000511605741197,0.8809096349491322,198.15634155273438
3,256,0.5,0.0001,153,0.9479907055984728,0.887909284592958,0.8899637243047158,194.09332418441772
4,64,0.2,0.001,92,0.9491340072425005,0.8951173189055843,0.8855421686746988,143.43930578231812
4,64,0.2,0.0001,76,0.943917011146699,0.8826951110114376,0.8798076923076923,125.57411503791809
4,64,0.3,0.001,117,0.9483814196003416,0.8894300852209016,0.8874172185430463,174.2936658859253
4,64,0.3,0.0001,140,0.9410899115426865,0.8771690681767212,0.8850913376546847,205.40411686897278
4,64,0.5,0.001,160,0.9445167958022966,0.8853757849293564,0.8878224355128974,228.66672110557556
4,64,0.5,0.0001,138,0.9302494038965178,0.8609904126485758,0.8801369863013698,200.88548350334167
4,128,0.2,0.001,80,0.9470728802843128,0.8933161863646557,0.8920023350846468,130.26294612884521
4,128,0.2,0.0001,103,0.954079426824026,0.8992907602601481,0.8869047619047619,157.20124125480652
4,128,0.3,0.001,114,0.9459040035952269,0.8914589874411303,0.8833034111310593,170.34201049804688
4,128,0.3,0.0001,91,0.9491657277633267,0.8878146725723255,0.886646884272997,142.54828763008118
4,128,0.5,0.001,128,0.9466416183873696,0.8895387138371832,0.8757612667478685,187.8062081336975
4,128,0.5,0.0001,200,0.9446950371249998,0.8809710697465799,0.8822197055492639,245.35788750648499
4,256,0.2,0.001,125,0.9505428186354015,0.8995342986095538,0.8845686512758202,189.39088249206543
4,256,0.2,0.0001,98,0.9548813182920102,0.9041475106526128,0.8917120387174834,154.38368129730225
4,256,0.3,0.001,95,0.9494945472312432,0.8935579726396053,0.8887573964497042,150.19888257980347
4,256,0.3,0.0001,85,0.9541428883035592,0.9001738057860507,0.8863080684596577,138.2514226436615
4,256,0.5,0.001,105,0.9446614939195956,0.8855212071092173,0.881746513038205,164.41490006446838
4,256,0.5,0.0001,200,0.9447530146164976,0.8829088640950886,0.8831011508176863,254.83284664154053
